Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,Description,No of Seasons,Streaming Platform
Le Mans: Racing is Everything,2017,7+,7.3,48,"Documentary,Reality","The 24 Hours of Le Mans is a motor race like no other. Taking place in France each year, it is an endurance test for drivers and cars that literally takes 24 hours to complete. Traveling from Kuala Lumpur to the Cìte D?Azur, shot in breathtaking 4K and with unprecedented access to six of the teams competing for glory, Le Mans: Racing is Everything is motorsport as you?ve never seen it before.Le Mans: Racing is Everything featuring Louis Mellis and Darren Cox has one or more episodes streaming with subscription on Prime Video. It's a documentary and reality show with 6 episodes over 1 season. Le Mans: Racing is Everything is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.3 (578 votes).",1Season,Prime Video
You Are Wanted,2017,7+,6,48,"Drama,Thriller","Lukas Franke finds himself a victim of a hacking attack, his online information altered to implicate him as having masterminded a cyber-attack on Berlin resulting in a city-wide blackout. Suspected as a terrorist, Lukas scrambles to find out why he's been targeted, as even his family and friends begin to doubt his innocence.You Are Wanted featuring Matthias Schweighîfer and Tom Beck has one or more episodes streaming with subscription on Prime Video. It's a drama and mystery show with 12 episodes over 2 seasons. You Are Wanted is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.0 (2,906 votes).",2Seasons,Prime Video
Laid,2011,N/A,7.4,48,"Comedy,2011","Roo?s world is turned upside down when she is introduced to Marcus, somebody stricken with a vaguely similar set of mysterious circumstances to the ones plaguing her ? although Marcus, if it can be believed, is a little different from Roo.In fact, he is her opposite.And everybody he has sex with... is healed.Laid featuring Alison Bell and Celia Pacquola has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a comedy show with 12 episodes over 2 seasons. Laid is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (510 votes).",2Seasons,Prime Video
Pensacola: Wings of Gold,1997,N/A,6.1,48,"Action & Adventure,Drama","Pensacola: Wings of Gold is a syndicated American action/adventure drama series based at the Naval Air Station Pensacola in Pensacola, Florida.Pensacola: Wings of Gold featuring Sandra Hess and James Brolin has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's an action & adventure and drama show with 66 episodes over 3 seasons. Pensacola: Wings of Gold is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.1 (627 votes).",3Seasons,Prime Video
The Karate Kid,1989,N/A,4.9,48,"Animation,Action & Adventure","The Karate Kid is a thirteen episode animated series which debuted on NBC's Saturday morning lineup. It starred Joey Dedio, Robert Ito, and Janice Kawaye. It is based on the popular Karate Kid series of films. Hoping to build from the franchise's popularity, DIC Entertainment and Columbia Pictures Television premiered an animated Karate Kid on NBC's 1989 Saturday morning schedule.The Karate Kid featuring Robert Ito and Joey Dedio has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's an action & adventure and animation show with 13 episodes over 1 season. The Karate Kid is no longer running and has no plans to air new episodes or seasons. It has a less than average IMDb audience rating of 4.9 (171 votes).",1Season,Prime Video
Niko and the Sword of Light,2017,all,7.7,48,"Animation,Action & Adventure","A plague of shadows has swept across the land, turning innocent creatures into terrible monsters. One champion remains to battle the darkness and return the world to the light: Niko. Armed with his magic sword and guided by a determined Princess, young Niko journeys to the Curse-ed Volcano to face the evil sorcerer Nar Est and free his people from their magic prison.Niko and the Sword of Light featuring Andre Robinson and Corey Burton has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and animation show with 33 episodes over 4 seasons. Niko and the Sword of Light is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.7 (330 votes).",4Seasons,Prime Video
Flint: Redemption,2013,N/A,5.2,48,"2013,Prime Video","Flint: Redemption has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It has 4 episodes over 1 season. Flint: Redemption is still airing with no announced date for the next episode or season. It has a less than average IMDb audience rating of 5.2 (51 votes).",1 Season,Prime Video
Rebel,2017,16+,5.2,48,"Drama,Crime","After her brother is slain by police, Oakland police officer Rebecca ?Rebel? Cole becomes disillusioned with the system and is forced to take matters into her own hands and become a private investigator and a champion for her community.Rebel featuring Danielle MonÇ Truitt and Mykelti Williamson has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a crime and drama show with 12 episodes over 1 season. Rebel is still airing with no announced date for the next episode or season. It has a less than average IMDb audience rating of 5.2 (479 votes) and was not well received by critics.",1Season,Prime Video
Beatless,2018,N/A,5.6,48,"Animation,Anime","Most of the world's needs are fulfilled by humanoid robots called hIE's. One day, 17-year-old Arato Endo meets the android Lacia and becomes her owner. She is one of five androids with advanced AI. Each of the five units have their own motivations, and fight to gain each other's abilities. What will the relationship between man and machine be moving forward? That is something Arato must find.Beatless featuring Saki Ono and Suyama Emiri has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and animation show with 32 episodes over 2 seasons. Beatless is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 5.6 (159 votes).",2 Seasons,Prime Video
Inuyashiki Last Hero,2017,N/A,6.6,48,"Thriller,2017","Inuyashiki Last Hero has one or more episodes streaming with subscription on Prime Video. It's a thriller show with 11 episodes over 1 season. Inuyashiki Last Hero is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.6 (1,631 votes).",1Season,Prime Video
Felix the Cat,1958,N/A,6.8,48,"Animation,Comedy","Felix the Cat is the first television series featuring the famous cartoon character Felix the Cat.In 1954 Otto Messmer retired from the Felix daily newspaper strips, and his assistant Joe Oriolo took over. Oriolo struck a deal with Felix's new owner to begin a new series of Felix cartoons on television. Oriolo went on to star Felix in 260 television cartoons distributed by Trans-Lux. Like the Van Beuren studio before, Oriolo gave Felix a more domesticated and pedestrian personality, geared more toward children, and introduced now-familiar elements such as Felix's ""Magic Bag of Tricks"", a satchel that could assume the shape and characteristics of anything Felix wanted.Felix the Cat featuring Mae Questel and Jack Mercer has one or more episodes streaming with subscription on Prime Video, available for purchase on Google Play, available for purchase on Prime Video, and 1 other. It's an animation and comedy show with 222 episodes over 16 seasons. Felix the Cat is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.8 (718 votes).",16Seasons,Prime Video
